sale_id,product_id,customer_id,store_id,sale_date,quantity,unit_price,total_amount
1,14,591,20,2024-11-24,2,118.89,237.78
2,12,404,18,2023-03-09,5,78.4,392.0
3,6,409,14,2024-11-05,1,382.22,382.22
4,22,29,6,2023-10-09,4,185.61,742.44
5,35,323,18,2023-03-27,2,367.83,735.66
6,47,354,10,2024-09-14,4,163.54,654.16
7,27,959,16,2024-05-13,5,99.84,499.2
8,27,696,6,2023-05-04,3,99.84,299.52
9,25,246,12,2023-09-25,5,260.99,1304.95
10,5,960,7,2024-10-24,5,107.02,535.1
11,49,50,13,2023-01-24,3,75.66,226.98
12,3,290,4,2023-03-08,3,276.91,830.73
13,22,34,18,2023-10-19,5,185.61,928.05
14,37,34,5,2024-01-11,4,220.89,883.56
15,36,559,11,2023-03-21,2,488.38,976.76
16,49,232,1,2023-03-29,3,75.66,226.98
17,17,541,20,2024-08-16,4,20.05,80.2
18,37,456,15,2023-09-17,2,220.89,441.78
19,26,269,9,2023-02-01,3,347.15,1041.45
20,17,61,18,2024-06-11,2,20.05,40.1
21,6,138,18,2023-04-07,1,382.22,382.22
22,31,643,15,2023-12-24,1,249.7,249.7
23,1,450,4,2023-04-03,4,107.48,429.92
24,34,834,16,2023-09-18,2,418.02,836.04
25,22,842,7,2024-01-20,5,185.61,928.05
26,7,816,7,2023-03-15,5,225.41,1127.05
27,47,734,8,2023-07-13,5,163.54,817.7
28,41,858,11,2023-08-17,1,172.46,172.46
29,41,799,11,2023-04-03,5,172.46,862.3
30,1,819,16,2024-07-15,1,107.48,107.48
31,43,311,15,2023-09-29,4,6.21,24.84
32,25,914,2,2024-01-10,4,260.99,1043.96
33,39,285,10,2024-04-23,1,391.69,391.69
34,39,828,11,2024-05-22,5,391.69,1958.45
35,13,173,18,2024-06-28,5,183.21,916.05
36,4,998,11,2024-11-26,5,315.3,1576.5
37,21,719,15,2023-01-11,4,441.38,1765.52
38,48,174,17,2024-06-30,4,194.93,779.72
39,2,964,20,2024-07-19,3,138.27,414.81
40,19,679,20,2023-11-08,2,203.07,406.14
41,45,496,7,2024-07-25,4,189.04,756.16
42,50,144,5,2023-08-24,2,351.37,702.74
43,49,33,16,2024-10-09,4,75.66,302.64
44,20,991,18,2024-10-10,2,286.8,573.6
45,22,643,14,2024-02-05,2,185.61,371.22
46,42,217,6,2024-02-08,2,147.62,295.24
47,28,766,16,2024-06-08,4,406.72,1626.88
48,39,358,20,2023-12-30,5,391.69,1958.45
49,37,959,17,2024-08-26,5,220.89,1104.45
50,32,604,1,2024-01-14,2,385.42,770.84
51,46,560,17,2023-07-29,5,122.91,614.55
52,20,353,3,2023-07-02,5,286.8,1434.0
53,37,21,8,2023-12-22,4,220.89,883.56
54,26,893,4,2023-07-31,1,347.15,347.15
55,37,402,19,2024-01-05,5,220.89,1104.45
56,37,856,14,2024-08-31,5,220.89,1104.45
57,41,915,19,2023-12-18,2,172.46,344.92
58,20,317,6,2023-02-18,1,286.8,286.8
59,23,465,14,2024-11-14,4,259.5,1038.0
60,35,319,7,2024-02-23,5,367.83,1839.15
61,8,775,19,2024-09-29,3,322.78,968.34
62,34,833,9,2023-05-01,4,418.02,1672.08
63,3,989,20,2024-01-14,5,276.91,1384.55
64,49,488,11,2023-03-06,1,75.66,75.66
65,36,760,2,2024-10-13,4,488.38,1953.52
66,25,242,2,2023-12-16,5,260.99,1304.95
67,44,292,6,2024-01-14,2,472.09,944.18
68,1,275,17,2024-05-28,1,107.48,107.48
69,32,258,17,2024-08-25,4,385.42,1541.68
70,17,371,6,2023-07-19,2,20.05,40.1
71,21,629,13,2023-07-18,1,441.38,441.38
72,50,876,12,2024-03-01,1,351.37,351.37
73,36,17,10,2023-08-28,4,488.38,1953.52
74,43,820,6,2024-10-06,5,6.21,31.05
75,20,597,15,2024-07-10,4,286.8,1147.2
76,49,506,12,2024-05-27,3,75.66,226.98
77,4,22,10,2023-03-10,5,315.3,1576.5
78,19,625,10,2024-05-26,5,203.07,1015.35
79,25,641,5,2023-09-05,1,260.99,260.99
80,47,272,11,2024-09-03,4,163.54,654.16
81,46,243,1,2024-10-24,5,122.91,614.55
82,46,581,7,2024-03-13,5,122.91,614.55
83,35,195,1,2024-11-18,5,367.83,1839.15
84,35,910,17,2023-02-04,4,367.83,1471.32
85,27,684,19,2024-05-09,2,99.84,199.68
86,22,208,5,2023-03-30,4,185.61,742.44
87,11,270,5,2024-07-02,1,497.06,497.06
88,36,943,5,2023-08-14,2,488.38,976.76
89,4,809,19,2023-11-04,4,315.3,1261.2
90,38,973,7,2023-03-22,2,23.93,47.86
91,8,460,8,2024-04-19,3,322.78,968.34
92,21,718,1,2024-04-16,2,441.38,882.76
93,14,868,12,2024-07-17,4,118.89,475.56
94,49,384,14,2024-07-08,4,75.66,302.64
95,19,301,10,2023-01-18,3,203.07,609.21
96,37,391,19,2024-08-14,4,220.89,883.56
97,26,354,13,2023-04-16,1,347.15,347.15
98,34,845,9,2023-07-17,5,418.02,2090.1
99,32,879,8,2023-06-19,3,385.42,1156.26
100,19,137,12,2024-04-20,3,203.07,609.21
101,18,968,9,2023-12-05,4,200.41,801.64
102,8,997,19,2023-05-21,3,322.78,968.34
103,2,167,7,2023-05-16,5,138.27,691.35
104,46,836,4,2024-05-11,5,122.91,614.55
105,42,422,12,2023-10-18,5,147.62,738.1
106,47,652,15,2023-11-14,2,163.54,327.08
107,39,828,19,2024-08-05,4,391.69,1566.76
108,7,312,14,2023-07-08,2,225.41,450.82
109,8,175,14,2024-01-04,5,322.78,1613.9
110,32,708,9,2024-10-28,4,385.42,1541.68
111,9,896,10,2024-08-10,3,226.05,678.15
112,36,271,13,2024-04-13,3,488.38,1465.14
113,46,31,17,2023-12-06,4,122.91,491.64
114,27,558,8,2023-09-28,3,99.84,299.52
115,7,624,16,2023-08-03,1,225.41,225.41
116,13,931,20,2023-06-12,5,183.21,916.05
117,40,874,9,2024-07-25,4,263.4,1053.6
118,14,283,5,2023-02-26,3,118.89,356.67
119,39,611,11,2024-01-10,5,391.69,1958.45
120,5,924,9,2024-09-01,2,107.02,214.04
121,19,196,5,2024-06-12,1,203.07,203.07
122,43,65,17,2023-05-20,4,6.21,24.84
123,24,242,2,2023-06-02,4,447.75,1791.0
124,13,570,14,2024-11-26,3,183.21,549.63
125,45,306,14,2024-09-03,1,189.04,189.04
126,4,952,5,2023-02-20,4,315.3,1261.2
127,46,547,11,2023-01-28,1,122.91,122.91
128,17,533,5,2023-12-05,4,20.05,80.2
